SK_ID_CURR,prob_randomforest
100001,0.1
100005,0.07
100013,0.07
100028,0.03
100038,0.14
100042,0.04
100057,0.02
100065,0.09
100066,0.05
100067,0.1
100074,0.12
100090,0.07
100091,0.12
100092,0.1
100106,0.05
100107,0.19
100109,0.05
100117,0.1
100128,0.11
100141,0.07
100150,0.03
100168,0.03
100169,0.07
100170,0.05
100171,0.05
100172,0.17
100184,0.03
100187,0.03
100212,0.11
100222,0.1
100223,0.1
100232,0.05
100241,0.18
100245,0.09
100253,0.05
100256,0.19
100271,0.06
100278,0.23
100280,0.05
100306,0.18
100311,0.05
100312,0.09
100330,0.15
100331,0.07
100352,0.13
100358,0.06
100367,0.06
100382,0.09
100384,0.13
100385,0.13
100386,0.06
100399,0.01
100404,0.12
100416,0.05
100422,0.1
100426,0.03
100438,0.01
100444,0.14
100445,0.1
100446,0.09
100447,0.05
100450,0.02
100466,0.04
100483,0.0
100484,0.04
100494,0.08
100510,0.13
100512,0.06
100517,0.0
100548,0.04
100551,0.04
100552,0.16
100553,0.05
100561,0.11
100568,0.3
100569,0.05
100591,0.08
100592,0.0
100602,0.09
100607,0.08
100613,0.04
100617,0.11
100618,0.09
100622,0.15
100625,0.16
100677,0.1
100699,0.04
100702,0.25
100711,0.06
100729,0.09
100740,0.2
100744,0.17
100745,0.08
100747,0.15
100751,0.28
100752,0.11
100753,0.25
100754,0.1
100760,0.12
100762,0.07
100763,0.19
100765,0.01
100770,0.08
100772,0.05
100777,0.03
100791,0.02
100792,0.01
100797,0.03
100823,0.05
100826,0.06
100830,0.02
100836,0.21
100872,0.2
100910,0.09
100913,0.23
100918,0.16
100931,0.05
100952,0.06
100953,0.14
100965,0.15
100970,0.01
100982,0.27
100983,0.27
100984,0.07
100987,0.05
100997,0.06
100998,0.1
101002,0.14
101005,0.19
101008,0.16
101020,0.03
101021,0.04
101024,0.25
101025,0.17
101026,0.04
101031,0.02
101041,0.01
101051,0.02
101055,0.08
101056,0.26
101057,0.04
101064,0.07
101079,0.11
101087,0.06
101090,0.07
101092,0.12
101097,0.12
101099,0.03
101107,0.09
101118,0.05
101125,0.05
101126,0.03
101128,0.07
101136,0.16
101140,0.15
101149,0.04
101160,0.03
101169,0.22
101181,0.06
101186,0.02
101190,0.12
101193,0.08
101194,0.11
101198,0.13
101200,0.06
101204,0.05
101211,0.06
101213,0.12
101223,0.07
101225,0.14
101237,0.06
101243,0.02
101244,0.1
101258,0.03
101259,0.18
101268,0.08
101269,0.04
101271,0.05
101279,0.08
101281,0.15
101287,0.03
101292,0.1
101294,0.12
101296,0.03
101297,0.04
101299,0.09
101301,0.12
101305,0.09
101308,0.21
101318,0.01
101327,0.21
101329,0.05
101332,0.06
101337,0.04
101343,0.01
101345,0.03
101346,0.05
101353,0.03
101354,0.14
101355,0.19
101356,0.04
101362,0.07
101363,0.24
101365,0.01
101366,0.1
101367,0.15
101368,0.01
101374,0.15
101380,0.02
101383,0.04
101398,0.01
101399,0.25
101401,0.11
101412,0.09
101426,0.07
101427,0.35
101428,0.15
101429,0.14
101434,0.02
101440,0.07
101448,0.1
101449,0.08
101465,0.09
101467,0.08
101472,0.11
101478,0.16
101497,0.1
101504,0.13
101547,0.05
101548,0.09
101555,0.15
101570,0.1
101572,0.08
101578,0.07
101580,0.2
101588,0.16
101602,0.1
101610,0.23
101614,0.08
101616,0.06
101643,0.03
101644,0.05
101649,0.16
101650,0.12
101665,0.01
101667,0.09
101669,0.13
101674,0.1
101675,0.01
101678,0.07
101682,0.06
101686,0.07
101697,0.23
101700,0.24
101711,0.07
101714,0.04
101715,0.19
101728,0.08
101732,0.06
101757,0.19
101758,0.08
101759,0.08
